transaction_key,transaction_id,transaction_date,transaction_timestamp,customer_key,location_key,channel,fulfillment_type,subtotal,tax_amount,discount_amount,delivery_fee,total_amount,item_count,total_quantity,payment_method,transaction_status,source_system,created_timestamp
FT_POS_000012,TRX100012,2025-10-08,2025-10-08 04:28:40.773103,,LK_ST021,IN_STORE,IMMEDIATE,45.47,4.55,0.0,0.0,50.02,1,1,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000013,TRX100013,2025-10-01,2025-10-01 05:03:40.773119,,LK_ST004,IN_STORE,IMMEDIATE,164.7,16.47,0.0,0.0,181.17,4,6,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000014,TRX100014,2025-09-22,2025-09-22 00:00:40.773134,,LK_ST008,IN_STORE,IMMEDIATE,186.6,18.66,0.0,0.0,205.26,6,6,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000015,TRX100015,2025-09-30,2025-09-30 23:05:40.773150,,LK_ST024,IN_STORE,IMMEDIATE,88.71,8.87,0.0,0.0,97.58,2,3,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000016,TRX100016,2025-09-23,2025-09-23 08:15:40.773186,,LK_ST003,IN_STORE,IMMEDIATE,457.8,45.78,0.0,0.0,503.58,6,7,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000017,TRX100017,2025-10-15,2025-10-15 02:40:40.773203,,LK_ST022,IN_STORE,IMMEDIATE,56.19,5.62,0.0,0.0,61.81,3,3,PAYWAVE,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000018,TRX100018,2025-09-29,2025-09-29 20:49:40.773218,,LK_ST021,IN_STORE,IMMEDIATE,146.2,14.62,0.0,0.0,160.82,4,4,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000019,TRX100019,2025-10-02,2025-10-02 13:51:40.773234,,LK_ST002,IN_STORE,IMMEDIATE,259.0,23.31,25.9,0.0,256.41,4,5,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000020,TRX100020,2025-10-03,2025-10-03 03:45:40.773250,,LK_ST024,IN_STORE,IMMEDIATE,102.42,9.73,5.12,0.0,107.03,1,2,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000021,TRX100021,2025-10-01,2025-10-01 00:06:40.773265,,LK_ST012,IN_STORE,IMMEDIATE,124.4,11.82,6.22,0.0,130.0,3,4,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000022,TRX100022,2025-10-08,2025-10-08 02:48:40.773281,,LK_ST006,IN_STORE,IMMEDIATE,16.76,1.68,0.0,0.0,18.44,2,2,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000023,TRX100023,2025-10-11,2025-10-11 15:59:40.773296,,LK_ST002,IN_STORE,IMMEDIATE,524.8,49.86,26.24,0.0,548.42,7,8,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000024,TRX100024,2025-10-15,2025-10-15 11:26:40.773312,,LK_ST021,IN_STORE,IMMEDIATE,35.6,3.38,1.78,0.0,37.2,4,5,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000025,TRX100025,2025-10-05,2025-10-05 05:48:40.773327,,LK_ST001,IN_STORE,IMMEDIATE,280.5,28.05,0.0,0.0,308.55,4,6,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000026,TRX100026,2025-09-23,2025-09-23 10:32:40.773343,,LK_ST012,IN_STORE,IMMEDIATE,36.26,3.26,3.63,0.0,35.89,1,1,VOUCHER,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000027,TRX100027,2025-09-25,2025-09-25 15:19:40.773359,,LK_ST022,IN_STORE,IMMEDIATE,466.27,46.63,0.0,0.0,512.9,5,7,CARD,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000028,TRX100028,2025-10-11,2025-10-11 12:37:40.773375,,LK_ST012,IN_STORE,IMMEDIATE,307.0,27.63,30.7,0.0,303.93,2,4,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000029,TRX100029,2025-10-14,2025-10-14 00:55:40.773390,,LK_ST025,IN_STORE,IMMEDIATE,194.18,17.48,19.42,0.0,192.24,6,7,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000030,TRX100030,2025-09-23,2025-09-23 13:16:40.773406,,LK_ST017,IN_STORE,IMMEDIATE,171.3,17.13,0.0,0.0,188.43,3,3,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000031,TRX100031,2025-09-25,2025-09-25 08:34:40.773421,,LK_ST010,IN_STORE,IMMEDIATE,20.75,2.08,0.0,0.0,22.83,4,5,VOUCHER,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000032,TRX100032,2025-10-10,2025-10-10 06:49:40.773440,,LK_ST016,IN_STORE,IMMEDIATE,281.4,25.33,28.14,0.0,278.59,4,4,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000033,TRX100033,2025-09-24,2025-09-24 06:23:40.773456,,LK_ST015,IN_STORE,IMMEDIATE,528.56,52.86,0.0,0.0,581.42,6,8,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000034,TRX100034,2025-09-28,2025-09-28 01:21:40.773472,,LK_ST015,IN_STORE,IMMEDIATE,148.28,14.83,0.0,0.0,163.11,2,2,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000035,TRX100035,2025-10-03,2025-10-03 05:31:40.773488,,LK_ST019,IN_STORE,IMMEDIATE,321.72,28.96,32.17,0.0,318.51,5,6,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000036,TRX100036,2025-09-30,2025-09-30 11:47:40.773503,,LK_ST012,IN_STORE,IMMEDIATE,448.85,44.88,0.0,0.0,493.73,4,5,CARD,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000037,TRX100037,2025-09-29,2025-09-29 10:10:40.773519,,LK_ST023,IN_STORE,IMMEDIATE,91.29,9.13,0.0,0.0,100.42,2,3,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000038,TRX100038,2025-10-07,2025-10-07 03:59:40.773534,,LK_ST020,IN_STORE,IMMEDIATE,371.82,37.18,0.0,0.0,409.0,6,6,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000039,TRX100039,2025-09-28,2025-09-28 22:41:40.773550,,LK_ST025,IN_STORE,IMMEDIATE,56.94,5.69,0.0,0.0,62.63,1,3,CASH,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000040,TRX100040,2025-10-13,2025-10-13 05:59:40.773565,,LK_ST003,IN_STORE,IMMEDIATE,587.44,58.74,0.0,0.0,646.18,5,7,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000041,TRX100041,2025-09-26,2025-09-26 08:06:40.773581,,LK_ST005,IN_STORE,IMMEDIATE,14.91,1.49,0.0,0.0,16.4,3,3,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000042,TRX100042,2025-09-28,2025-09-28 11:05:40.773596,,LK_ST019,IN_STORE,IMMEDIATE,385.25,38.53,0.0,0.0,423.78,4,5,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000043,TRX100043,2025-09-30,2025-09-30 23:38:40.773612,,LK_ST007,IN_STORE,IMMEDIATE,109.0,10.9,0.0,0.0,119.9,2,4,CARD,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000044,TRX100044,2025-10-16,2025-10-16 21:47:40.773627,,LK_ST021,IN_STORE,IMMEDIATE,74.12,7.04,3.71,0.0,77.45,1,2,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000045,TRX100045,2025-10-13,2025-10-13 00:49:40.773643,,LK_ST009,IN_STORE,IMMEDIATE,5.55,0.56,0.0,0.0,6.11,3,3,VOUCHER,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000046,TRX100046,2025-10-05,2025-10-05 01:22:40.773658,,LK_ST007,IN_STORE,IMMEDIATE,51.52,5.15,0.0,0.0,56.67,7,8,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000047,TRX100047,2025-10-17,2025-10-17 05:35:40.773674,,LK_ST018,IN_STORE,IMMEDIATE,122.16,12.22,0.0,0.0,134.38,2,4,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000048,TRX100048,2025-09-24,2025-09-24 02:20:40.773689,,LK_ST004,IN_STORE,IMMEDIATE,156.76,15.68,0.0,0.0,172.44,2,4,CARD,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000049,TRX100049,2025-09-25,2025-09-25 01:41:40.773705,,LK_ST025,IN_STORE,IMMEDIATE,340.4,34.04,0.0,0.0,374.44,3,4,CASH,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000050,TRX100050,2025-10-15,2025-10-15 22:45:40.773720,,LK_ST014,IN_STORE,IMMEDIATE,83.27,8.33,0.0,0.0,91.6,1,1,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000051,TRX100051,2025-10-15,2025-10-15 16:24:40.773736,,LK_ST018,IN_STORE,IMMEDIATE,52.8,4.75,5.28,0.0,52.27,7,8,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000052,TRX100052,2025-10-13,2025-10-13 03:08:40.773751,,LK_ST009,IN_STORE,IMMEDIATE,422.16,42.22,0.0,0.0,464.38,6,6,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000053,TRX100053,2025-10-09,2025-10-09 01:10:40.773767,,LK_ST021,IN_STORE,IMMEDIATE,34.28,3.43,0.0,0.0,37.71,1,2,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000054,TRX100054,2025-09-24,2025-09-24 05:30:40.773782,,LK_ST002,IN_STORE,IMMEDIATE,159.46,15.95,0.0,0.0,175.41,5,7,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000055,TRX100055,2025-10-14,2025-10-14 19:20:40.773798,,LK_ST020,IN_STORE,IMMEDIATE,204.88,20.49,0.0,0.0,225.37,4,4,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000056,TRX100056,2025-09-17,2025-09-17 23:35:40.773813,,LK_ST015,IN_STORE,IMMEDIATE,168.15,16.81,0.0,0.0,184.96,3,3,VOUCHER,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000057,TRX100057,2025-10-03,2025-10-03 14:29:40.773829,,LK_ST007,IN_STORE,IMMEDIATE,33.24,3.32,0.0,0.0,36.56,6,6,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000058,TRX100058,2025-10-07,2025-10-07 02:51:40.773845,,LK_ST012,IN_STORE,IMMEDIATE,606.78,60.68,0.0,0.0,667.46,7,9,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000059,TRX100059,2025-10-06,2025-10-06 08:50:40.773870,,LK_ST008,IN_STORE,IMMEDIATE,214.52,20.38,10.73,0.0,224.17,3,4,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000060,TRX100060,2025-10-17,2025-10-17 04:03:40.773912,,LK_ST015,IN_STORE,IMMEDIATE,272.4,27.24,0.0,0.0,299.64,3,5,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000061,TRX100061,2025-09-20,2025-09-20 04:14:40.773971,,LK_ST003,IN_STORE,IMMEDIATE,83.92,8.39,0.0,0.0,92.31,1,1,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000062,TRX100062,2025-10-09,2025-10-09 07:11:40.774068,,LK_ST014,IN_STORE,IMMEDIATE,90.8,9.08,0.0,0.0,99.88,4,5,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000063,TRX100063,2025-09-20,2025-09-20 09:04:40.774131,,LK_ST017,IN_STORE,IMMEDIATE,156.38,15.64,0.0,0.0,172.02,5,7,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000064,TRX100064,2025-10-13,2025-10-13 07:06:40.774199,,LK_ST004,IN_STORE,IMMEDIATE,173.36,17.34,0.0,0.0,190.7,2,2,CARD,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000065,TRX100065,2025-09-20,2025-09-20 21:59:40.774228,,LK_ST018,IN_STORE,IMMEDIATE,114.98,11.5,0.0,0.0,126.48,2,2,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000066,TRX100066,2025-09-18,2025-09-18 08:00:40.774269,,LK_ST008,IN_STORE,IMMEDIATE,76.0,7.6,0.0,0.0,83.6,3,5,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000067,TRX100067,2025-10-05,2025-10-05 02:00:40.774301,,LK_ST004,IN_STORE,IMMEDIATE,277.56,27.76,0.0,0.0,305.32,4,6,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000068,TRX100068,2025-09-30,2025-09-30 04:17:40.774337,,LK_ST002,IN_STORE,IMMEDIATE,539.73,53.97,0.0,0.0,593.7,7,9,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000069,TRX100069,2025-10-11,2025-10-11 04:11:40.774416,,LK_ST006,IN_STORE,IMMEDIATE,611.31,61.13,0.0,0.0,672.44,7,7,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000070,TRX100070,2025-09-29,2025-09-29 05:52:40.774448,,LK_ST022,IN_STORE,IMMEDIATE,85.76,8.58,0.0,0.0,94.34,6,8,PAYWAVE,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000071,TRX100071,2025-09-24,2025-09-24 20:52:40.774481,,LK_ST010,IN_STORE,IMMEDIATE,74.73,7.47,0.0,0.0,82.2,1,1,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000072,TRX100072,2025-09-22,2025-09-22 18:52:40.774506,,LK_ST004,IN_STORE,IMMEDIATE,151.56,15.16,0.0,0.0,166.72,4,6,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000073,TRX100073,2025-10-02,2025-10-02 13:23:40.774549,,LK_ST022,IN_STORE,IMMEDIATE,207.6,18.68,20.76,0.0,205.52,4,4,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000074,TRX100074,2025-10-03,2025-10-03 14:45:40.774574,,LK_ST018,IN_STORE,IMMEDIATE,1.87,0.19,0.0,0.0,2.06,1,1,PAYWAVE,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000075,TRX100075,2025-10-09,2025-10-09 16:46:40.774601,,LK_ST012,IN_STORE,IMMEDIATE,353.52,33.58,17.68,0.0,369.42,7,8,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000076,TRX100076,2025-09-29,2025-09-29 06:19:40.774625,,LK_ST002,IN_STORE,IMMEDIATE,64.35,6.44,0.0,0.0,70.79,7,9,VOUCHER,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000077,TRX100077,2025-10-15,2025-10-15 04:34:40.774650,,LK_ST010,IN_STORE,IMMEDIATE,281.52,28.15,0.0,0.0,309.67,7,9,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000078,TRX100078,2025-10-10,2025-10-10 01:33:40.774685,,LK_ST004,IN_STORE,IMMEDIATE,19.11,1.91,0.0,0.0,21.02,3,3,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000079,TRX100079,2025-10-02,2025-10-02 20:56:40.774708,,LK_ST014,IN_STORE,IMMEDIATE,124.4,12.44,0.0,0.0,136.84,4,4,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000080,TRX100080,2025-10-16,2025-10-16 15:55:40.774730,,LK_ST016,IN_STORE,IMMEDIATE,176.48,17.65,0.0,0.0,194.13,2,2,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000081,TRX100081,2025-10-11,2025-10-11 07:56:40.774773,,LK_ST015,IN_STORE,IMMEDIATE,170.2,15.32,17.02,0.0,168.5,1,2,PAYWAVE,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000082,TRX100082,2025-10-12,2025-10-12 10:48:40.774797,,LK_ST008,IN_STORE,IMMEDIATE,52.88,5.29,0.0,0.0,58.17,7,8,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000083,TRX100083,2025-09-20,2025-09-20 12:52:40.774833,,LK_ST014,IN_STORE,IMMEDIATE,321.78,28.96,32.18,0.0,318.56,6,6,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000084,TRX100084,2025-09-18,2025-09-18 08:03:40.774888,,LK_ST023,IN_STORE,IMMEDIATE,672.57,67.26,0.0,0.0,739.83,7,9,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000085,TRX100085,2025-10-16,2025-10-16 02:20:40.774918,,LK_ST025,IN_STORE,IMMEDIATE,553.41,52.57,27.67,0.0,578.31,7,9,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000086,TRX100086,2025-09-21,2025-09-21 01:52:40.774970,,LK_ST008,IN_STORE,IMMEDIATE,336.3,33.63,0.0,0.0,369.93,5,6,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000087,TRX100087,2025-09-26,2025-09-26 06:12:40.775010,,LK_ST021,IN_STORE,IMMEDIATE,89.32,8.48,4.47,0.0,93.33,3,4,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000088,TRX100088,2025-10-03,2025-10-03 07:40:40.775087,,LK_ST016,IN_STORE,IMMEDIATE,32.63,3.26,0.0,0.0,35.89,1,1,CARD,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000089,TRX100089,2025-09-23,2025-09-23 15:29:40.775133,,LK_ST013,IN_STORE,IMMEDIATE,339.99,34.0,0.0,0.0,373.99,5,7,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000090,TRX100090,2025-10-03,2025-10-03 04:20:40.775172,,LK_ST018,IN_STORE,IMMEDIATE,378.8,37.88,0.0,0.0,416.68,5,5,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000091,TRX100091,2025-09-18,2025-09-18 21:21:40.775220,,LK_ST015,IN_STORE,IMMEDIATE,413.56,39.29,20.68,0.0,432.17,6,7,VOUCHER,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000092,TRX100092,2025-10-05,2025-10-05 23:23:40.775258,,LK_ST021,IN_STORE,IMMEDIATE,191.4,19.14,0.0,0.0,210.54,4,6,VOUCHER,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000093,TRX100093,2025-09-20,2025-09-20 16:34:40.775298,,LK_ST024,IN_STORE,IMMEDIATE,96.0,9.12,4.8,0.0,100.32,6,8,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000094,TRX100094,2025-10-14,2025-10-14 07:59:40.775341,,LK_ST025,IN_STORE,IMMEDIATE,187.75,18.78,0.0,0.0,206.53,4,5,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000095,TRX100095,2025-10-07,2025-10-07 07:05:40.775379,,LK_ST013,IN_STORE,IMMEDIATE,89.36,8.49,4.47,0.0,93.38,4,4,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000096,TRX100096,2025-10-07,2025-10-07 01:45:40.775419,,LK_ST009,IN_STORE,IMMEDIATE,48.11,4.57,2.41,0.0,50.27,1,1,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000097,TRX100097,2025-10-12,2025-10-12 06:17:40.775457,,LK_ST015,IN_STORE,IMMEDIATE,57.96,5.51,2.9,0.0,60.57,7,9,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000098,TRX100098,2025-09-24,2025-09-24 20:59:40.775491,,LK_ST013,IN_STORE,IMMEDIATE,113.56,11.36,0.0,0.0,124.92,1,2,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000099,TRX100099,2025-10-04,2025-10-04 01:13:40.775520,,LK_ST001,IN_STORE,IMMEDIATE,287.45,28.74,0.0,0.0,316.19,3,5,VOUCHER,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000100,TRX100100,2025-09-21,2025-09-21 22:45:40.775545,,LK_ST025,IN_STORE,IMMEDIATE,249.05,22.42,24.9,0.0,246.57,4,5,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000101,TRX100101,2025-09-17,2025-09-17 18:00:40.775601,,LK_ST007,IN_STORE,IMMEDIATE,365.0,36.5,0.0,0.0,401.5,5,5,VOUCHER,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000102,TRX100102,2025-10-16,2025-10-16 20:45:40.775696,,LK_ST009,IN_STORE,IMMEDIATE,318.48,31.85,0.0,0.0,350.33,7,8,VOUCHER,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000103,TRX100103,2025-09-20,2025-09-20 01:13:40.775736,,LK_ST024,IN_STORE,IMMEDIATE,79.24,7.92,0.0,0.0,87.16,2,2,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000104,TRX100104,2025-10-06,2025-10-06 07:37:40.775767,,LK_ST001,IN_STORE,IMMEDIATE,294.56,27.98,14.73,0.0,307.81,3,4,VOUCHER,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000105,TRX100105,2025-10-14,2025-10-14 06:29:40.775819,,LK_ST012,IN_STORE,IMMEDIATE,245.25,24.52,0.0,0.0,269.77,1,3,CARD,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000106,TRX100106,2025-10-13,2025-10-13 03:43:40.775880,,LK_ST008,IN_STORE,IMMEDIATE,510.48,51.05,0.0,0.0,561.53,6,6,CARD,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000107,TRX100107,2025-10-01,2025-10-01 02:31:40.775945,,LK_ST024,IN_STORE,IMMEDIATE,189.25,17.98,9.46,0.0,197.77,3,5,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000108,TRX100108,2025-09-28,2025-09-28 21:45:40.776013,,LK_ST011,IN_STORE,IMMEDIATE,337.65,33.76,0.0,0.0,371.41,3,5,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000109,TRX100109,2025-10-08,2025-10-08 14:14:40.776116,,LK_ST019,IN_STORE,IMMEDIATE,370.02,33.3,37.0,0.0,366.32,7,7,CASH,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000110,TRX100110,2025-09-25,2025-09-25 10:39:40.776176,,LK_ST017,IN_STORE,IMMEDIATE,15.75,1.58,0.0,0.0,17.33,3,3,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000111,TRX100111,2025-10-12,2025-10-12 14:59:40.776237,,LK_ST008,IN_STORE,IMMEDIATE,268.15,26.82,0.0,0.0,294.97,3,5,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000112,TRX100112,2025-10-04,2025-10-04 07:31:40.776300,,LK_ST003,IN_STORE,IMMEDIATE,56.8,5.68,0.0,0.0,62.48,2,4,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000113,TRX100113,2025-09-25,2025-09-25 10:31:40.776374,,LK_ST003,IN_STORE,IMMEDIATE,705.52,70.55,0.0,0.0,776.07,6,8,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000114,TRX100114,2025-09-24,2025-09-24 16:45:40.776407,,LK_ST001,IN_STORE,IMMEDIATE,163.36,14.7,16.34,0.0,161.72,6,8,PAYWAVE,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000115,TRX100115,2025-10-02,2025-10-02 14:38:40.776444,,LK_ST005,IN_STORE,IMMEDIATE,155.34,15.53,0.0,0.0,170.87,6,6,PAYWAVE,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000116,TRX100116,2025-10-08,2025-10-08 15:16:40.776479,,LK_ST010,IN_STORE,IMMEDIATE,138.36,13.84,0.0,0.0,152.2,4,4,PAYWAVE,RETURN,POS,2025-10-17 11:24:40.861801
